,Class ID,Preferred Label,Synonyms,Definitions,Parents
1150,http://edamontology.org/data_2704,Clone ID (IMAGE),I.M.A.G.E. cloneID|IMAGE cloneID,A unique identifier assigned by the I.M.A.G.E. consortium to a clone (cloned molecular sequence).,http://edamontology.org/data_2091|http://edamontology.org/data_1855
1151,http://edamontology.org/data_2705,GO concept ID (cellular component),GO concept identifier (cellular compartment),An identifier of a 'cellular component' concept from the Gene Ontology.,http://edamontology.org/data_1176
1152,http://edamontology.org/data_2706,Chromosome name (BioCyc),,Name of a chromosome as used in the BioCyc database.,http://edamontology.org/data_0987
1153,http://edamontology.org/data_2709,CleanEx entry name,,An identifier of a gene expression profile from the CleanEx database.,http://edamontology.org/data_2091|http://edamontology.org/data_1080
1154,http://edamontology.org/data_2710,CleanEx dataset code,,An identifier of (typically a list of) gene expression experiments catalogued in the CleanEx database.,http://edamontology.org/data_1078
1155,http://edamontology.org/data_2711,Genome report,,A human-readable collection of information concerning a genome as a whole.,http://edamontology.org/data_2530
1156,http://edamontology.org/data_2713,Protein ID (CORUM),CORUM complex ID,Unique identifier for a protein complex from the CORUM database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1157,http://edamontology.org/data_2714,CDD PSSM-ID,,Unique identifier of a position-specific scoring matrix from the CDD database.,http://edamontology.org/data_2091|http://edamontology.org/data_1115
1158,http://edamontology.org/data_2715,Protein ID (CuticleDB),CuticleDB ID,Unique identifier for a protein from the CuticleDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1159,http://edamontology.org/data_2716,DBD ID,,Identifier of a predicted transcription factor from the DBD database.,http://edamontology.org/data_2091|http://edamontology.org/data_2911
1160,http://edamontology.org/data_2717,Oligonucleotide probe annotation,Oligonucleotide probe sets annotation,"General annotation on an oligonucleotide probe, or a set of probes.",http://edamontology.org/data_3115
1161,http://edamontology.org/data_2718,Oligonucleotide ID,,Identifier of an oligonucleotide from a database.,http://edamontology.org/data_2901|http://edamontology.org/data_2119
1162,http://edamontology.org/data_2719,dbProbe ID,,Identifier of an oligonucleotide probe from the dbProbe database.,http://edamontology.org/data_2091|http://edamontology.org/data_2718
1163,http://edamontology.org/data_2720,Dinucleotide property,,Physicochemical property data for one or more dinucleotides.,http://edamontology.org/data_2088
1164,http://edamontology.org/data_2721,DiProDB ID,,Identifier of an dinucleotide property from the DiProDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2718
1166,http://edamontology.org/data_2723,Protein ID (DisProt),DisProt ID,Unique identifier for a protein from the DisProt database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1168,http://edamontology.org/data_2725,Ensembl transcript ID,Transcript ID (Ensembl),Unique identifier for a gene transcript from the Ensembl database.,http://edamontology.org/data_2091|http://edamontology.org/data_2610|http://edamontology.org/data_2769
1170,http://edamontology.org/data_2727,Promoter ID,,An identifier of a promoter of a gene that is catalogued in a database.,http://edamontology.org/data_0976
1171,http://edamontology.org/data_2728,EST accession,,Identifier of an EST sequence.,http://edamontology.org/data_1855
1172,http://edamontology.org/data_2729,COGEME EST ID,,Identifier of an EST sequence from the COGEME database.,http://edamontology.org/data_2728|http://edamontology.org/data_2091
1173,http://edamontology.org/data_2730,COGEME unisequence ID,,Identifier of a unisequence from the COGEME database.|A unisequence is a single sequence assembled from ESTs.,http://edamontology.org/data_2728|http://edamontology.org/data_2091
1174,http://edamontology.org/data_2731,Protein family ID (GeneFarm),GeneFarm family ID,Accession number of an entry (family) from the TIGRFam database.,http://edamontology.org/data_2091|http://edamontology.org/data_2910
1175,http://edamontology.org/data_2732,Family name,,The name of a family of organism.,http://edamontology.org/data_1868
1179,http://edamontology.org/data_2736,Sequence feature ID (SwissRegulon),,"A feature identifier as used in the SwissRegulon database.|This can be name of a gene, the ID of a TFBS, or genomic coordinates in form ""chr:start..end"".",http://edamontology.org/data_1015|http://edamontology.org/data_2091
1180,http://edamontology.org/data_2737,FIG ID,,"A unique identifier of gene in the NMPDR database.|A FIG ID consists of four parts: a prefix, genome id, locus type and id number.",http://edamontology.org/data_2295|http://edamontology.org/data_2091
1181,http://edamontology.org/data_2738,Gene ID (Xenbase),,A unique identifier of gene in the Xenbase database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1182,http://edamontology.org/data_2739,Gene ID (Genolist),,A unique identifier of gene in the Genolist database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1184,http://edamontology.org/data_2741,ABS ID,ABS identifier,Identifier of an entry (promoter) from the ABS database.,http://edamontology.org/data_2727|http://edamontology.org/data_2091
1185,http://edamontology.org/data_2742,AraC-XylS ID,,Identifier of a transcription factor from the AraC-XylS database.,http://edamontology.org/data_2091|http://edamontology.org/data_2911
1187,http://edamontology.org/data_2744,Locus ID (PseudoCAP),,Identifier of a locus from the PseudoCAP database.,http://edamontology.org/data_2091|http://edamontology.org/data_1893
1188,http://edamontology.org/data_2745,Locus ID (UTR),,Identifier of a locus from the UTR database.,http://edamontology.org/data_2091|http://edamontology.org/data_1893
1189,http://edamontology.org/data_2746,MonosaccharideDB ID,,Unique identifier of a monosaccharide from the MonosaccharideDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2898
1192,http://edamontology.org/data_2749,Genome identifier,,An identifier of a particular genome.,http://edamontology.org/data_0976
1193,http://edamontology.org/data_2751,GenomeReviews ID,,An identifier of a particular genome.,http://edamontology.org/data_2903|http://edamontology.org/data_2091
1194,http://edamontology.org/data_2752,GlycoMap ID,,Identifier of an entry from the GlycosciencesDB database.,http://edamontology.org/data_2900|http://edamontology.org/data_2091
1195,http://edamontology.org/data_2753,Carbohydrate conformational map,,A conformational energy map of the glycosidic linkages in a carbohydrate molecule.,http://edamontology.org/data_3425
1196,http://edamontology.org/data_2755,Transcription factor name,,The name of a transcription factor.,http://edamontology.org/data_1009|http://edamontology.org/data_1077
1197,http://edamontology.org/data_2756,TCID,,Identifier of a membrane transport proteins from the transport classification database (TCDB).,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1198,http://edamontology.org/data_2757,Pfam domain name,,Name of a domain from the Pfam database.,http://edamontology.org/data_1131
1199,http://edamontology.org/data_2758,Pfam clan ID,,Accession number of a Pfam clan.,http://edamontology.org/data_2091|http://edamontology.org/data_2910
1200,http://edamontology.org/data_2759,Gene ID (VectorBase),VectorBase ID,Identifier for a gene from the VectorBase database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1201,http://edamontology.org/data_2761,UTRSite ID,,Identifier of an entry from the UTRSite database of regulatory motifs in eukaryotic UTRs.,http://edamontology.org/data_1114
1202,http://edamontology.org/data_2762,Sequence signature report,Sequence profile report|Sequence motif report,"An informative report about a specific or conserved pattern in a molecular sequence, such as its context in genes or proteins, its role, origin or method of construction, etc.",http://edamontology.org/data_2048
1204,http://edamontology.org/data_2764,Protein name (UniProt),,Official name of a protein as used in the UniProt database.,http://edamontology.org/data_1009
1206,http://edamontology.org/data_2766,HAMAP ID,,Name of a protein family from the HAMAP database.,http://edamontology.org/data_2091|http://edamontology.org/data_2910
1209,http://edamontology.org/data_2769,Transcript ID,,Identifier of a RNA transcript.,http://edamontology.org/data_2901|http://edamontology.org/data_2119
1210,http://edamontology.org/data_2770,HIT ID,,Identifier of an RNA transcript from the H-InvDB database.,http://edamontology.org/data_2091|http://edamontology.org/data_2769
1211,http://edamontology.org/data_2771,HIX ID,,A unique identifier of gene cluster in the H-InvDB database.,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1212,http://edamontology.org/data_2772,HPA antibody id,,Identifier of a antibody from the HPA database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1213,http://edamontology.org/data_2773,IMGT/HLA ID,,Identifier of a human major histocompatibility complex (HLA) or other protein from the IMGT/HLA database.,http://edamontology.org/data_2091|http://edamontology.org/data_2907
1214,http://edamontology.org/data_2774,Gene ID (JCVI),,A unique identifier of gene assigned by the J. Craig Venter Institute (JCVI).,http://edamontology.org/data_2295|http://edamontology.org/data_2091
1215,http://edamontology.org/data_2775,Kinase name,,The name of a kinase protein.,http://edamontology.org/data_1009
1216,http://edamontology.org/data_2776,ConsensusPathDB entity ID,,Identifier of a physical entity from the ConsensusPathDB database.,http://edamontology.org/data_2917|http://edamontology.org/data_2091
